day_order,day,calendar_date,days_since_day1,days_since_planting,days_since_previous_photo,tray,tray_no,capture_id,microbe_status,treatment,fixed_environment,observed_environment,environment_group,microbe_treatment,treatment_environment,microbe_environment,heat_phase,moisture_phase,moisture_watered_today,cells_processed,valid_observed_ndvi_cells,valid_observed_ndre_cells,mean_observed_ndvi,median_observed_ndvi,mean_adjusted_ndvi,median_adjusted_ndvi,mean_observed_ndre,median_observed_ndre,mean_adjusted_ndre,median_adjusted_ndre,day7_imputed_cells,mean_ndvi_adjustment,mean_ndre_adjustment,status
1,Day 1,2026-06-29,0,2,0,Tray 1,1,DJI_20260629153749_0001,No Microbes,Ideal,Inside,Inside,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,Not Heat,Not Moisture,Daily watering,70,70,70,0.31555161029100415,0.3210216611623764,0.31555161029100415,0.3210216611623764,-0.032957606183689245,-0.03277405537664885,-0.032957606183689245,-0.03277405537664885,0,0.0,0.0,PASS
1,Day 1,2026-06-29,0,2,0,Tray 2,2,DJI_20260629153956_0003,No Microbes,Ideal,Outside,Outside,Outside,No Microbes | Ideal,Ideal | Outside,No Microbes | Outside,Not Heat,Not Moisture,Daily watering,70,70,70,0.31354126547064093,0.312819167971611,0.31354126547064093,0.312819167971611,-0.049027226040405845,-0.045993587002158096,-0.049027226040405845,-0.045993587002158096,0,0.0,0.0,PASS
1,Day 1,2026-06-29,0,2,0,Tray 3,3,DJI_20260629154053_0004,No Microbes,Moisture,Outside,Outside,Outside,No Microbes | Moisture,Moisture | Outside,No Microbes | Outside,Not Heat,Drying after Day 0 watering,No,70,70,70,0.30556707850524356,0.3041583150625229,0.30556707850524356,0.3041583150625229,-0.06393493395298716,-0.06552464514970775,-0.06393493395298716,-0.06552464514970775,0,0.0,0.0,PASS
1,Day 1,2026-06-29,0,2,0,Tray 4,4,DJI_20260629154141_0005,No Microbes,Heat,Dynamic Heat,Inside,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,Inside baseline,Not Moisture,Daily watering,70,70,70,0.3067212445395333,0.30716913938522333,0.3067212445395333,0.30716913938522333,-0.06009448074868743,-0.059573732316493946,-0.06009448074868743,-0.059573732316493946,0,0.0,0.0,PASS
1,Day 1,2026-06-29,0,2,0,Tray 5,5,DJI_20260629154235_0006,Microbes,Moisture,Inside,Inside,Inside,Microbes | Moisture,Moisture | Inside,Microbes | Inside,Not Heat,Drying after Day 0 watering,No,70,70,70,0.3274781627314431,0.3261314034461975,0.3274781627314431,0.3261314034461975,-0.0237356883542296,-0.02446817234158515,-0.0237356883542296,-0.02446817234158515,0,0.0,0.0,PASS
1,Day 1,2026-06-29,0,2,0,Tray 6,6,DJI_20260629154321_0007,Microbes,Heat,Dynamic Heat,Inside,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,Inside baseline,Not Moisture,Daily watering,70,70,70,0.3319139433758599,0.33062316477298737,0.3319139433758599,0.33062316477298737,-0.009047908325114146,-0.0089512718841433,-0.009047908325114146,-0.0089512718841433,0,0.0,0.0,PASS
1,Day 1,2026-06-29,0,2,0,Tray 7,7,DJI_20260629154404_0008,Microbes,Ideal,Outside,Outside,Outside,Microbes | Ideal,Ideal | Outside,Microbes | Outside,Not Heat,Not Moisture,Daily watering,70,70,70,0.33116555554526195,0.3328897356986999,0.33116555554526195,0.3328897356986999,-0.01978595337423027,-0.02174976188689465,-0.01978595337423027,-0.02174976188689465,0,0.0,0.0,PASS
1,Day 1,2026-06-29,0,2,0,Tray 8,8,DJI_20260629154446_0009,Microbes,Heat,Dynamic Heat,Inside,Dynamic Heat,Microbes | Heat,Heat | Dynamic Heat,Microbes | Dynamic Heat,Inside baseline,Not Moisture,Daily watering,70,70,70,0.3253788960831505,0.3284261673688888,0.3253788960831505,0.3284261673688888,-0.0335271257192029,-0.0335718113929033,-0.0335271257192029,-0.0335718113929033,0,0.0,0.0,PASS
1,Day 1,2026-06-29,0,2,0,Tray 9,9,DJI_20260629154539_0010,Microbes,Ideal,Inside,Inside,Inside,Microbes | Ideal,Ideal | Inside,Microbes | Inside,Not Heat,Not Moisture,Daily watering,70,70,70,0.3412440082856587,0.3475158214569092,0.3412440082856587,0.3475158214569092,-0.004818751334512068,-9.925101767295e-05,-0.004818751334512068,-9.925101767295e-05,0,0.0,0.0,PASS
1,Day 1,2026-06-29,0,2,0,Tray 10,10,DJI_20260629154609_0011,Microbes,Moisture,Outside,Outside,Outside,Microbes | Moisture,Moisture | Outside,Microbes | Outside,Not Heat,Drying after Day 0 watering,No,70,70,70,0.3199477642774582,0.31901678442955017,0.3199477642774582,0.31901678442955017,-0.024403130448107307,-0.02169743459671735,-0.024403130448107307,-0.02169743459671735,0,0.0,0.0,PASS
1,Day 1,2026-06-29,0,2,0,Tray 11,11,DJI_20260629154652_0012,No Microbes,Heat,Dynamic Heat,Inside,Dynamic Heat,No Microbes | Heat,Heat | Dynamic Heat,No Microbes | Dynamic Heat,Inside baseline,Not Moisture,Daily watering,70,70,70,0.3162529728242329,0.31237226724624634,0.3162529728242329,0.31237226724624634,-0.04839075341088959,-0.0481890346854925,-0.04839075341088959,-0.0481890346854925,0,0.0,0.0,PASS
1,Day 1,2026-06-29,0,2,0,Tray 12,12,DJI_20260629154739_0013,No Microbes,Moisture,Inside,Inside,Inside,No Microbes | Moisture,Moisture | Inside,No Microbes | Inside,Not Heat,Drying after Day 0 watering,No,70,70,70,0.3234026231936046,0.32085293531417847,0.3234026231936046,0.32085293531417847,-0.04489244702937343,-0.04778271913528435,-0.04489244702937343,-0.04778271913528435,0,0.0,0.0,PASS
2,Day 2,2026-06-30,1,3,1,Tray 1,1,DJI_20260630132402_0001,No Microbes,Ideal,Inside,Inside,Inside,No Microbes | Ideal,Ideal | Inside,No Microbes | Inside,Not Heat,Not Moisture,Daily watering,70,70,70,0.30976046898535314,0.31708642840385437,0.30976046898535314,0.31708642840385437,-0.025274380063638045,-0.0246568322181701,-0.025274380063638045,-0.0246568322181701,0,0.0,0.0,PASS
